timestamp,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1,Generation(kWh)_1
2022-09-27 11:30:00+00:00,31.4254,0.0,12.3218,
2022-09-27 11:45:00+00:00,29.4202,0.0,10.6606,
2022-09-27 12:00:00+00:00,29.5895,0.0,10.0531,
2022-09-27 12:15:00+00:00,29.0842,0.0,9.8246,
2022-09-27 12:30:00+00:00,29.4121,0.0,10.1123,
2022-09-27 12:45:00+00:00,29.6406,0.0,10.5235,
2022-09-27 13:00:00+00:00,30.0545,0.0,10.6203,
2022-09-27 13:15:00+00:00,28.6971,0.0,11.5235,
2022-09-27 13:30:00+00:00,29.4739,0.0,10.4698,
2022-09-27 13:45:00+00:00,29.5626,0.0,10.1499,
2022-09-27 14:00:00+00:00,30.1029,0.0,10.9993,
2022-09-27 14:15:00+00:00,28.8799,0.0,8.6419,
2022-09-27 14:30:00+00:00,29.3341,0.0,10.5074,
2022-09-27 14:45:00+00:00,29.6701,0.0,10.7036,
2022-09-27 15:00:00+00:00,28.4821,0.0,9.3784,
2022-09-27 15:15:00+00:00,30.2454,0.0,11.3702,
2022-09-27 15:30:00+00:00,29.2481,0.0,9.8596,
2022-09-27 15:45:00+00:00,29.1971,0.0,9.2655,
2022-09-27 16:00:00+00:00,29.2938,0.0,10.2682,
2022-09-27 16:15:00+00:00,29.8234,0.0,11.088,
2022-09-27 16:30:00+00:00,29.1352,0.0,11.1471,
2022-09-27 16:45:00+00:00,28.7858,0.0,10.6042,
2022-09-27 17:00:00+00:00,29.8852,0.0,11.1149,
2022-09-27 17:15:00+00:00,30.0518,0.0,11.174,
2022-09-27 17:30:00+00:00,30.1997,0.0,11.3864,
2022-09-27 17:45:00+00:00,30.111,0.0,10.8864,
2022-09-27 18:00:00+00:00,27.3585,0.0,10.0666,
2022-09-27 18:15:00+00:00,30.154,0.0,11.3138,
2022-09-27 18:30:00+00:00,29.025,0.0,9.6902,
2022-09-27 18:45:00+00:00,29.6298,0.0,10.2037,
2022-09-27 19:00:00+00:00,29.1809,0.0,9.2172,
2022-09-27 19:15:00+00:00,29.8422,0.0,9.9214,
2022-09-27 19:30:00+00:00,30.4685,0.0,11.0504,
2022-09-27 19:45:00+00:00,29.3798,0.0,10.287,
2022-09-27 20:00:00+00:00,31.584,0.0,11.8944,
2022-09-27 20:15:00+00:00,32.807,0.0,12.5503,
2022-09-27 20:30:00+00:00,33.1968,0.0,12.682,
2022-09-27 20:45:00+00:00,35.0811,0.0,13.4212,
2022-09-27 21:00:00+00:00,32.6108,0.0,12.2277,
2022-09-27 21:15:00+00:00,35.495,0.0,14.9318,
2022-09-27 21:30:00+00:00,33.8392,0.0,13.1121,
2022-09-27 21:45:00+00:00,36.4789,0.0,14.0851,
2022-09-27 22:00:00+00:00,41.5027,0.0,15.706,
2022-09-27 22:15:00+00:00,42.1398,0.0,14.3593,
2022-09-27 22:30:00+00:00,44.7471,0.0,15.3109,
2022-09-27 22:45:00+00:00,43.2902,0.0,15.1872,
2022-09-27 23:00:00+00:00,45.0106,0.0,15.5474,
2022-09-27 23:15:00+00:00,35.2209,0.0,13.5287,
2022-09-27 23:30:00+00:00,41.5189,0.0,16.0205,
2022-09-27 23:45:00+00:00,35.7181,0.0,12.3352,
2022-09-28 00:00:00+00:00,39.9948,0.0,14.7894,
2022-09-28 00:15:00+00:00,37.4627,0.0,13.0664,
2022-09-28 00:30:00+00:00,38.1589,0.0,13.104,
2022-09-28 00:45:00+00:00,37.6938,0.0,13.5448,
2022-09-28 01:00:00+00:00,37.1374,0.0,12.9508,
2022-09-28 01:15:00+00:00,37.7637,0.0,12.2707,
2022-09-28 01:30:00+00:00,37.0783,0.0,12.3863,
2022-09-28 01:45:00+00:00,37.882,0.0,13.6981,
2022-09-28 02:00:00+00:00,40.4598,0.0,15.577,
2022-09-28 02:15:00+00:00,38.7878,0.0,13.1013,
2022-09-28 02:30:00+00:00,40.4168,0.0,13.3916,
2022-09-28 02:45:00+00:00,39.5217,0.0,14.3808,
2022-09-28 03:00:00+00:00,35.8042,0.0,11.596,
2022-09-28 03:15:00+00:00,37.6454,0.0,12.9185,
2022-09-28 03:30:00+00:00,37.0164,0.0,13.1497,
2022-09-28 03:45:00+00:00,37.3981,0.0,14.3163,
2022-09-28 04:00:00+00:00,38.4922,0.0,13.9373,
2022-09-28 04:15:00+00:00,38.4357,0.0,13.2707,
2022-09-28 04:30:00+00:00,35.7235,0.0,13.4669,
2022-09-28 04:45:00+00:00,36.1133,0.0,12.6847,
2022-09-28 05:00:00+00:00,36.7261,0.0,13.4776,
2022-09-28 05:15:00+00:00,36.2235,0.0,12.8325,
2022-09-28 05:30:00+00:00,35.8982,0.0,13.6981,
2022-09-28 05:45:00+00:00,36.8982,0.0,13.4319,
2022-09-28 06:00:00+00:00,34.8123,0.0,11.8353,
